id,trt,add,add_new,rdp,epa,District,section,UTM_flsE,UTM_flsN,y95_96,mz_var,lite_txt,sitegrp,yield,N,P2O5,S,Nsq
710156,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71015,715200,8268900,1995/96,MH18,medium,Lower Shire valley,1718.13193,35,0,0,1225
710156,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71015,715200,8268900,1995/96,MH18,medium,Lower Shire valley,2193.36,35,10,2,1225
710166,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71016,723400,8272300,1995/96,MH18,light,Lower Shire valley,2833.09,35,0,0,1225
710166,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71016,723400,8272300,1995/96,MH18,light,Lower Shire valley,3491.09807,35,10,2,1225
710176,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71017,717100,8275200,1995/96,MH18,light,Lower Shire valley,1200.86463,35,0,0,1225
710176,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71017,717100,8275200,1995/96,MH18,light,Lower Shire valley,1381.81679,35,10,2,1225
710186,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71018,716900,8275200,1995/96,MH18,light,Lower Shire valley,4203.94,35,0,0,1225
710186,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71018,716900,8275200,1995/96,MH18,light,Lower Shire valley,3564.21,35,10,2,1225
710196,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71019,704600,8297500,1995/96,MH18,medium,Lower Shire valley,2321.30597,35,0,0,1225
710196,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71019,704600,8297500,1995/96,MH18,medium,Lower Shire valley,785.954035,35,10,2,1225
710206,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71020,714100,8278400,1995/96,MH18,medium,Lower Shire valley,1846.07807,35,0,0,1225
710206,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71020,714100,8278400,1995/96,MH18,medium,Lower Shire valley,1462.24,35,10,2,1225
710216,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71021,709700,8282900,1995/96,MH18,light,Lower Shire valley,2010.58,35,0,0,1225
710216,35:10:0+2S,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71021,709700,8282900,1995/96,MH18,light,Lower Shire valley,2047.13597,35,10,2,1225
710236,35:00:00,BLADD,BLADD,Blantyre Shire Highlands,Lirangwe,Blantyre,71023,726100,8278700,1995/96,MH18,medium,Lower Shire valley,1919.19,35,0,0,1225
